公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：1分钟,发车时间：18:02,到达时间：18.43,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
融园东,5,1,6,1,4,1,5 ,1 ,6 ,19,,,
第三食堂,0,1,1,7,1,2,1 ,3 ,4 ,11,,,
秀园,1,2,0,0,0,1,0 ,1 ,3 ,9,,,
第二食堂,3,0,3,2,3,3,3 ,2 ,4 ,13,,,
综合楼,1,3,1,0,0,0,1 ,1 ,4 ,12,,,
一食堂,0,0,0,0,1,2,0 ,1 ,4 ,11,,,
西门,1,4,1,1,0,1,1 ,2 ,2 ,7,,,
纺化楼,1,0,0,1,2,0,1 ,0 ,3 ,9,,,
11号教学楼,2,2,2,0,0,1,1 ,1 ,3 ,10,,,
1号教学楼,2,0,0,2,2,0,1 ,1 ,4 ,12,,,
逸夫楼,0,2,0,1,0,1,0 ,1 ,3 ,8,,,
理科楼,0,0,0,1,1,3,0 ,1 ,2 ,5,,,
东操场,2,1,3,0,0,0,2 ,0 ,3 ,9,,,
东体育馆,0,5,0,3,0,1,0 ,3 ,0 ,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
（上行）,上车人数,下车人数,上车人数,下车人数,上车人数,下车人数,平均上车人数,平均下车人数,车上人数,断面客流,,,
东体育馆,4,0,1,0,2,0,2 ,0 ,2 ,7,,,
东操场,0,1,0,1,0,1,0 ,1 ,1 ,4,,,
理科楼,3,0,1,0,1,0,2 ,0 ,3 ,9,,,
逸夫楼,1,2,0,0,1,0,1 ,1 ,3 ,9,,,
1号教学楼,2,0,3,0,1,1,2 ,0 ,5 ,14,,,
11号教学楼,4,1,2,1,1,0,2 ,1 ,6 ,19,,,
纺化楼,0,1,1,1,2,1,1 ,1 ,6 ,19,,,
西门,1,2,0,0,0,0,0 ,1 ,6 ,18,,,
一食堂,2,4,2,2,1,2,2 ,3 ,5 ,15,,,
综合楼,0,0,0,0,1,2,0 ,1 ,5 ,14,,,
第二食堂,0,5,2,1,0,0,1 ,2 ,3 ,10,,,
秀园,5,3,0,5,0,3,2 ,4 ,1 ,4,,,
第三食堂,2,4,1,2,3,0,2 ,2 ,1 ,4,,,
融园东,3,2,1,0,0,2,1 ,1 ,1 ,4,,,
东体育馆,0,2,0,1,0,1,0 ,1 ,0 ,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
某次车，早高峰时期（下行）,站点,站名,站距Si,行驶距离/km,已上车乘客 (客流量Ai),集结量,疏散量,垂直误差线,（1-15的客运量）,客运周转量,平均运距,,
,1,东体育馆,0,0,7,7,0,7,142,44.45,0.313,,1.204
,2,融园东,0.172,0.172,19,15,3,12,,,,,6.517
,3,第三食堂,0.343,0.515,11,2,10,-8,,,,,1.969
,4,秀园,0.179,0.694,9,1,3,-2,,,,,2.736
,5,第二食堂,0.304,0.998,13,9,5,4,,,,,4.719
,6,综合楼,0.363,1.361,12,2,3,-1,,,,,4.272
,7,一食堂,0.356,1.717,11,1,2,-1,,,,,3.85
,8,西门,0.35,2.067,7,2,6,-4,,,,,2.87
,9,纺化楼,0.41,2.477,9,3,1,2,,,,,1.647
,10,11号教学楼,0.183,2.66,10,4,3,1,,,,,2.87
,11,1号教学楼,0.287,2.947,12,4,2,2,,,,,2.916
,12,逸夫楼,0.243,3.19,8,0,4,-4,,,,,2.4
,13,理科楼,0.3,3.49,5,1,4,-3,,,,,2.205
,14,东操场,0.441,3.931,9,5,1,4,,,,,4.275
,15,东体育馆,0.475,4.406,0,0,9,-9,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
某次车，早高峰时期（上行）,站点,站名,站距Si,行驶距离/km,已上车乘客 (客流量Ai),集结量,疏散量,垂直误差线,（1-15的客运量）,客运周转量,平均运距,,
,1,东体育馆,0,0,7,7,0,7,150,47.799,0.319,,
,2,东操场,0.475,0.172,4,0,3,-3,,,,,3.325
,3,理科楼,0.441,0.515,9,5,0,5,,,,,1.764
,4,逸夫楼,0.3,0.694,9,2,2,0,,,,,2.7
,5,1号教学楼,0.243,0.998,14,6,1,5,,,,,2.187
,6,11号教学楼,0.287,1.361,19,7,2,5,,,,,4.018
,7,纺化楼,0.183,1.717,19,3,3,0,,,,,3.477
,8,西门,0.41,2.067,18,1,2,-1,,,,,7.79
,9,一食堂,0.35,2.477,15,5,8,-3,,,,,6.3
,10,综合楼,0.356,2.66,14,1,2,-1,,,,,5.34
,11,第二食堂,0.363,2.947,10,2,6,-4,,,,,5.082
,12,秀园,0.304,3.19,4,5,11,-6,,,,,3.04
,13,第三食堂,0.179,3.49,4,6,6,0,,,,,0.716
,14,融园东,0.343,3.931,4,4,4,0,,,,,1.372
,15,东体育馆,0.172,4.406,0,0,4,-4,,,,,0.688
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
