公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：3分钟,发车时间：7.22,到达时间：8.03,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
第二食堂,2,0,1,2,1,3,1 ,2 ,6 ,17,,,
综合楼,0,3,0,0,0,1,0 ,1 ,4 ,13,,,
一食堂,0,0,0,0,2,2,1 ,1 ,4 ,13,,,
西门,2,4,0,1,0,0,1 ,2 ,3 ,10,,,
纺化楼,0,0,0,6,0,0,0 ,2 ,1 ,4,,,
11号教学楼,1,0,2,0,0,0,1 ,0 ,2 ,7,,,
1号教学楼,2,0,1,0,1,0,1 ,0 ,4 ,11,,,
逸夫楼,1,0,0,2,0,0,0 ,1 ,3 ,10,,,
理科楼,0,0,0,1,0,3,0 ,1 ,2 ,6,,,
东操场,0,3,0,0,0,0,0 ,1 ,1 ,3,,,
东体育馆,0,3,0,0,0,0,0 ,1 ,0 ,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
（上行）,上车人数,下车人数,上车人数,下车人数,上车人数,下车人数,平均上车人数,平均下车人数,车上人数,断面客流,,,
东体育馆,1,0,1,0,0,0,1 ,0 ,1 ,2,,,
东操场,0,0,0,0,0,0,0 ,0 ,1 ,2,,,
理科楼,0,0,0,0,0,0,0 ,0 ,1 ,2,,,
逸夫楼,0,0,0,0,1,0,0 ,0 ,1 ,3,,,
1号教学楼,3,0,2,0,0,0,2 ,0 ,3 ,8,,,
11号教学楼,0,0,2,1,1,0,1 ,0 ,3 ,10,,,
纺化楼,0,1,0,1,4,0,1 ,1 ,4 ,12,,,
西门,2,2,0,0,0,0,1 ,1 ,4 ,12,,,
一食堂,4,3,3,2,3,4,3 ,3 ,4 ,13,,,
综合楼,1,0,0,0,1,2,1 ,1 ,4 ,13,,,
第二食堂,1,0,2,1,1,0,1 ,0 ,5 ,16,,,
秀园,0,3,0,5,0,3,0 ,4 ,2 ,5,,,
第三食堂,0,2,0,0,0,0,0 ,1 ,1 ,3,,,
融园东,0,1,0,0,0,2,0 ,1 ,0 ,0,,,
东体育馆,0,0,0,0,0,0,0 ,0 ,0 ,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
某次车，早高峰时期（下行）,站点,站名,站距Si,行驶距离/km,已上车乘客 (客流量Ai),集结量,疏散量,垂直误差线,（1-4的客运量）,客运周转量,平均运距,,
,1,东体育馆,0,0,4,4,0,4,157,48.877,0.311,,0.688
,2,融园东,0.172,0.172,21,17,0,17,,,,,7.203
,3,第三食堂,0.343,0.515,20,5,6,-1,,,,,3.58
,4,秀园,0.179,0.694,18,1,3,-2,,,,,5.472
,5,第二食堂,0.304,0.998,17,4,5,-1,,,,,6.171
,6,综合楼,0.363,1.361,13,0,4,-4,,,,,4.628
,7,一食堂,0.356,1.717,13,2,2,0,,,,,4.55
,8,西门,0.35,2.067,10,2,5,-3,,,,,4.1
,9,纺化楼,0.41,2.477,4,0,6,-6,,,,,0.732
,10,11号教学楼,0.183,2.66,7,3,0,3,,,,,2.009
,11,1号教学楼,0.287,2.947,11,4,0,4,,,,,2.673
,12,逸夫楼,0.243,3.19,10,1,2,-1,,,,,3
,13,理科楼,0.3,3.49,6,0,4,-4,,,,,2.646
,14,东操场,0.441,3.931,3,0,3,-3,,,,,1.425
,15,东体育馆,0.475,4.406,0,0,3,-3,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
某次车，早高峰时期（上行）,站点,站名,站距Si,行驶距离/km,已上车乘客 (客流量Ai),集结量,疏散量,垂直误差线,（1-4的客运量）,客运周转量,平均运距,,
,1,东体育馆,0,0,2,2,0,2,101,32.542,0.322,,
,2,东操场,0.475,0.172,2,0,0,0,,,,,0.95
,3,理科楼,0.441,0.515,2,0,0,0,,,,,0.882
,4,逸夫楼,0.3,0.694,3,1,0,1,,,,,0.6
,5,1号教学楼,0.243,0.998,8,5,0,5,,,,,0.729
,6,11号教学楼,0.287,1.361,10,3,1,2,,,,,2.296
,7,纺化楼,0.183,1.717,12,4,2,2,,,,,1.83
,8,西门,0.41,2.067,12,2,2,0,,,,,4.92
,9,一食堂,0.35,2.477,13,10,9,1,,,,,4.2
,10,综合楼,0.356,2.66,13,2,2,0,,,,,4.628
,11,第二食堂,0.363,2.947,16,4,1,3,,,,,4.719
,12,秀园,0.304,3.19,5,0,11,-11,,,,,4.864
,13,第三食堂,0.179,3.49,3,0,2,-2,,,,,0.895
,14,融园东,0.343,3.931,0,0,3,-3,,,,,1.029
,15,东体育馆,0.172,4.406,0,0,0,0,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
